Winner,C1,C2,C3,C4,C5,C6,C7,C8,C9
X,O,O,X,O,X,O,X,b,b
b,X,X,O,O,X,O,O,X,b
O,O,O,O,b,b,b,b,b,b
b,X,O,X,O,X,O,O,X,X
b,O,O,X,X,X,O,X,b,b
O,O,O,O,b,b,b,b,b,b
X,O,X,O,X,X,X,b,b,b
X,X,X,O,O,X,X,O,X,b
X,X,X,X,b,b,b,b,b,b
b,O,X,O,O,X,X,X,O,X
b,O,X,X,O,X,X,O,b,b
O,O,O,O,b,b,b,b,b,b
X,X,O,X,X,O,X,X,b,b
b,X,X,O,O,O,X,X,X,O
b,O,X,X,X,O,X,X,O,O
X,X,X,X,b,b,b,b,b,b
X,X,X,X,b,b,b,b,b,b
b,X,X,O,X,X,O,O,O,X
b,O,O,X,X,O,X,X,X,O
b,X,X,O,X,O,X,O,b,b
X,X,X,X,b,b,b,b,b,b
b,X,O,O,O,X,X,X,O,X
X,X,X,X,b,b,b,b,b,b
b,X,X,O,X,O,O,X,b,b
X,O,X,O,O,X,X,X,X,b
X,X,X,O,X,X,X,b,b,b
X,X,O,O,X,X,X,b,b,b
b,O,X,O,X,O,X,X,O,X
O,O,O,O,b,b,b,b,b,b
b,X,O,O,O,X,O,X,X,X
X,X,X,O,O,X,X,O,X,b
X,X,X,X,b,b,b,b,b,b
b,X,O,X,O,X,O,X,b,b
X,X,X,O,X,O,X,X,b,b
O,X,O,O,X,O,X,O,b,b
b,O,X,X,X,O,X,O,X,O
X,X,O,X,X,X,X,b,b,b
X,X,X,X,b,b,b,b,b,b
O,X,X,O,X,O,O,O,b,b
b,X,X,O,X,O,X,O,b,b
X,X,X,X,b,b,b,b,b,b
O,X,X,O,X,O,O,O,b,b
b,O,X,X,X,O,X,O,O,X
X,X,X,O,X,X,X,b,b,b
X,O,X,X,O,X,X,X,b,b
b,O,O,X,O,O,X,X,X,X
X,X,X,X,b,b,b,b,b,b
b,O,O,X,X,X,O,O,X,X
X,O,O,X,X,X,X,b,b,b
b,X,O,X,O,O,X,X,O,b
X,X,X,X,b,b,b,b,b,b
X,X,X,X,b,b,b,b,b,b
O,O,O,O,b,b,b,b,b,b
O,O,X,O,X,O,X,O,b,b
b,O,X,O,X,O,O,X,X,X
X,O,X,O,O,X,X,X,X,b
b,O,X,O,X,O,X,X,O,X
X,X,X,O,O,X,X,O,X,b
b,X,X,O,O,X,O,O,X,b
O,O,X,X,O,O,O,b,b,b
X,X,X,X,b,b,b,b,b,b
b,X,O,X,O,X,X,O,X,O
O,O,X,X,O,O,O,b,b,b
X,X,O,X,X,X,X,b,b,b
X,X,X,X,b,b,b,b,b,b
b,X,O,X,X,X,O,O,X,O
b,O,X,X,X,O,X,X,O,O
X,X,X,O,X,O,X,X,b,b
O,O,O,O,b,b,b,b,b,b
b,O,O,X,X,X,O,X,b,b
b,X,X,O,O,O,X,X,O,X
b,X,O,X,X,O,O,X,b,b
